"Factors","p^a >","Smallest q^2ß","Smallest q^2ß <","Largest q^2ß","Largest q^2ß >","Q^2 =1 mod 16","Q^2 =1 mod 32","N >","N=1 mod 12","N=117 mod 468","N=81 mod 324","105 | N","s(n)/n˜"
(5^241)(3^120)(13^120)(17^120)(19^120)(23^120)(29^120)(31^120)(37^120)(41^120),10^168,q1^2ß1,10^58,q9^2ß9,10^193,yes,yes,10^1560,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840344192512669589007116442755645119809175723412061655798075432998622723591662926989455287404408544127622419637918163730729626761502100282964100
(5^245)(3^122)(13^122)(17^122)(19^122)(23^122)(29^122)(31^122)(37^122)(41^122),10^171,q1^2ß1,10^59,q9^2ß9,10^196,no,no,10^1586,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840786941645167493155613487968461070652138593226581426502757079476940063665007542233351816931151874569385437916520082649802258418188574065970454
(5^249)(3^124)(13^124)(17^124)(19^124)(23^124)(29^124)(31^124)(37^124)(41^124),10^174,q1^2ß1,10^60,q9^2ß9,10^199,yes,no,10^1612,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840836135993222815838779826325440620745801134317083623247721706863419768117601387913157085354656569661395161139950346001257965931126095446577432
(5^253)(3^126)(13^126)(17^126)(19^126)(23^126)(29^126)(31^126)(37^126)(41^126),10^176,q1^2ß1,10^61,q9^2ß9,10^203,no,no,10^1638,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840841602031895629470242752809549459645096972216028311774939998795250846390111815208200767964687540369320293807948588473987332576195561021525966
(5^257)(3^128)(13^128)(17^128)(19^128)(23^128)(29^128)(31^128)(37^128)(41^128),10^179,q1^2ß1,10^62,q9^2ß9,10^206,yes,yes,10^1664,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842209369525942095960855752228219522796509760355499389075364565454299531501862685411793760980773860140408185152926941666224131663687713664614
(5^261)(3^130)(13^130)(17^130)(19^130)(23^130)(29^130)(31^130)(37^130)(41^130),10^182,q1^2ß1,10^63,q9^2ß9,10^209,no,no,10^1690,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842276851484865721040644968081415064763125043058520235090405206588016547211867960657368323196529672649472009521478075666156292826500920192993
(5^265)(3^132)(13^132)(17^132)(19^132)(23^132)(29^132)(31^132)(37^132)(41^132),10^185,q1^2ß1,10^63,q9^2ß9,10^212,yes,no,10^1715,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842284349480301679382843769842881236092748963358855884647631944491762882290757435684653823708108437367667512409298111537267080768688598742802
(5^269)(3^134)(13^134)(17^134)(19^134)(23^134)(29^134)(31^134)(37^134)(41^134),10^188,q1^2ß1,10^64,q9^2ß9,10^216,no,no,10^1741,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285182590905674754199192260821921796040510058893179042879359814401363966189599576574431550873239673605546546680121068671719951818521857075
(5^273)(3^136)(13^136)(17^136)(19^136)(23^136)(29^136)(31^136)(37^136)(41^136),10^190,q1^2ß1,10^65,q9^2ß9,10^219,yes,yes,10^1767,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285275158750563128794239196148664651961793025563989531240183739138973041237617786787832402615880071855896016259676779554486231481297769081
(5^277)(3^138)(13^138)(17^138)(19^138)(23^138)(29^138)(31^138)(37^138)(41^138),10^193,q1^2ß1,10^66,q9^2ß9,10^222,no,no,10^1793,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285285444066661837082577744518302747064157799638524029946941952998707382909619810144876941581971583087075632015272801857164501618223213647
(5^281)(3^140)(13^140)(17^140)(19^140)(23^140)(29^140)(31^140)(37^140)(41^140),10^196,q1^2ß1,10^67,q9^2ß9,10^225,yes,no,10^1819,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286586879561693559059805448262535408864996757916752025470643427566754206508923851215223688626184402591491461929320599877703677101058509
(5^285)(3^142)(13^142)(17^142)(19^142)(23^142)(29^142)(31^142)(37^142)(41^142),10^199,q1^2ß1,10^68,q9^2ß9,10^229,no,no,10^1845,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286713858772788723113367773813623002721351993404832256418275697440017683941047596363921700472619328910126153604542030412962685312961742
(5^289)(3^144)(13^144)(17^144)(19^144)(23^144)(29^144)(31^144)(37^144)(41^144),10^202,q1^2ß1,10^69,q9^2ß9,10^232,yes,yes,10^1871,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286727967574021519119319143319299402038724797347952282079123727425935848100172456935999257344421311532875079096016075163572238528826858
(5^293)(3^146)(13^146)(17^146)(19^146)(23^146)(29^146)(31^146)(37^146)(41^146),10^204,q1^2ß1,10^70,q9^2ß9,10^235,no,no,10^1897,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729535218602940897758184375485668629543997786076729374773508535482310784519663666230096996843611322836074523899451704592324505513616
(5^297)(3^148)(13^148)(17^148)(19^148)(23^148)(29^148)(31^148)(37^148)(41^148),10^207,q1^2ß1,10^71,q9^2ß9,10^238,yes,no,10^1923,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729709401334209984251411159506364917412797834757223518734595325431917749447131080700190291557199343868492841237899398296634754531269
(5^301)(3^150)(13^150)(17^150)(19^150)(23^150)(29^150)(31^150)(37^150)(41^150),10^210,q1^2ß1,10^72,q9^2ß9,10^241,no,no,10^1949,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729728754971017660528436357730886727175997840166167312508049413204096301105738571196867324303153563430497749231561695687386223235600
(5^305)(3^152)(13^152)(17^152)(19^152)(23^152)(29^152)(31^152)(37^152)(41^152),10^213,q1^2ß1,10^73,q9^2ß9,10^245,yes,yes,10^1975,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729730905375107402336994713089166928260797840767161067371766534067671695734472736807609216830481810018929343778263498044439327940202
(5^309)(3^154)(13^154)(17^154)(19^154)(23^154)(29^154)(31^154)(37^154)(41^154),10^215,q1^2ß1,10^74,q9^2ß9,10^248,no,no,10^2001,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731144308895151426834530351198061714664507500604817912179547496957850693220977431024982666851615195246778966507586488002970862956
(5^313)(3^156)(13^156)(17^156)(19^156)(23^156)(29^156)(31^156)(37^156)(41^156),10^218,q1^2ß1,10^75,q9^2ß9,10^251,yes,no,10^2027,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731170857093790214594510046979298765094137137654123527780993433545201244193004166960067759781593548169903140709260347699874356336
(5^317)(3^158)(13^158)(17^158)(19^158)(23^158)(29^158)(31^158)(37^158)(41^158),10^221,q1^2ß1,10^76,q9^2ß9,10^254,no,no,10^2053,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731173806893638968790063346510547326252984875104046373958931870943795749856562693175077214551591142939133034081813837892176205601
(5^321)(3^160)(13^160)(17^160)(19^160)(23^160)(29^160)(31^160)(37^160)(41^160),10^224,q1^2ß1,10^77,q9^2ß9,10^258,yes,yes,10^2079,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174134649177719256235935347352721937301290376260023534258363988084028263624751643411598414924209024602985985898550183124822437
